food_name,calories,protein_g,fat_g,carbs_g,fibre_g
chocolate soymilk,153.0,5.5,3.7,24.2,1.0
soy oil,120.0,0.0,13.6,0.0,0.0
natto,169.0,14.2,8.8,11.5,4.3
chrysanthemum raw,12.0,1.7,0.3,1.5,1.5
gourd cooked,100.0,1.2,0.6,25.5,5.2
cauliflower raw,3.0,0.2,0.081,0.6,0.3
red cabbage raw,53.0,2.4,0.3,12.5,3.6
broccoli raab raw,9.0,1.3,0.2,1.1,1.1
napa cabbage cooked,13.0,1.2,0.2,2.4,0.0
kelp,2.0,0.07,0.067,0.5,0.018
shallots raw,18.0,0.6,0.061,4.2,0.8
bamboo shoots raw,49.0,4.7,0.5,9.4,4.0
jute cooked,32.0,3.2,0.2,6.3,1.7
red lettuce,4.0,0.4,0.08,0.6,0.3
broccoli cooked,98.0,6.7,1.1,20.1,9.2
romanesco raw,20.0,1.9,0.2,3.9,2.0
eggplant raw,115.0,4.5,0.8,26.9,13.7
leeks raw,54.0,1.3,0.3,12.6,1.6
lemongrass citronella,5.0,0.038,0.076,1.2,0.0
pumpkin cooked,49.0,1.8,0.2,12.0,2.7
celery cooked,7.0,0.3,0.098,1.5,0.6
serrano pepper,2.0,0.1,0.075,0.4,0.2
nopales raw,14.0,1.1,0.063,2.9,1.9
sweet potato leaves cooked,22.0,1.4,0.2,4.7,1.2
eggplant cooked,33.0,0.8,0.2,8.1,2.5
asparagus cooked,3.0,0.4,0.074,0.6,0.3
rutabaga cooked,72.0,2.2,0.4,16.4,4.3
parsnips raw,128.0,2.0,0.5,30.6,8.3
sour pickles,17.0,0.5,0.3,3.5,1.9
turnip greens cooked,29.0,1.6,0.3,6.3,5.0
jerusalem artichokes,110.0,3.0,0.047,26.2,2.4
collard raw,12.0,1.1,0.2,2.0,1.4
chrysanthemum cooked,20.0,1.6,0.036,4.3,2.3
oriental radish dried,314.0,9.2,0.8,73.5,27.7
tomatillos,42.0,1.3,1.3,7.7,2.5
taro shoots raw,9.0,0.8,0.069,2.0,0.0
acorn squash raw,172.0,3.4,0.4,44.9,6.5
leeks dried,10.0,0.5,0.026,2.4,0.3
cabbage raw,70.0,3.6,0.3,16.2,7.0
sweet red peppers cooked,19.0,0.7,0.1,4.5,0.9
sweet red peppers raw,46.0,1.5,0.4,9.0,3.1
cucumber peeled,16.0,0.8,0.2,2.9,0.9
purslane raw,9.0,0.9,0.2,1.5,0.0
peas onions cooked,81.0,4.6,0.4,15.5,4.0
tomato cooked,22.0,1.2,0.1,4.9,0.9
taro shoots cooked,20.0,1.0,0.1,4.5,0.0
scots kale raw,28.0,1.9,0.4,5.6,1.1
artichoke raw,60.0,4.2,0.2,13.5,6.9
navy bean sprouts raw,70.0,6.4,0.7,13.6,0.0
sweet pickles,146.0,0.9,0.7,33.8,1.6
oriental radish cooked,25.0,1.0,0.4,5.0,2.4
sweet potato leaves raw,15.0,0.9,0.2,3.1,1.9
irishmoss,2.0,0.037,0.049,0.6,0.082
drumstick leaves cooked,25.0,2.2,0.4,4.7,0.8
winter squash raw,39.0,1.1,0.2,10.0,1.7
pumpkin raw,30.0,1.2,0.1,7.5,0.6
chicory greens,7.0,0.5,0.096,1.4,1.2
spinach cooked,41.0,5.3,0.5,6.8,4.3
radish pickled,42.0,1.7,0.5,7.8,3.3
sweet onion,106.0,2.6,0.3,25.0,3.0
salsify cooked,92.0,3.7,0.2,20.7,4.2
radish seeds sprouted,16.0,1.4,1.0,1.4,0.0
turnips raw,51.0,1.6,0.2,11.8,3.3
burdock root raw,85.0,1.8,0.2,20.5,3.9
red cabbage cooked,49.0,2.6,0.2,11.8,4.4
jute raw,10.0,1.3,0.046,1.6,0.0
hot chile pepper dried,2.0,0.054,0.054,0.3,0.1
salsify raw,109.0,4.4,0.3,24.7,4.4
crookneck squash raw,24.0,1.3,0.3,4.9,1.3
indian squash cooked,38.0,0.7,0.4,7.6,3.5
poi,269.0,0.9,0.3,65.4,1.0
sesbania flower cooked,22.0,1.2,0.007,5.3,0.0
acorn squash cooked,115.0,2.3,0.3,29.9,9.0
cauliflower cooked,29.0,2.3,0.6,5.1,2.9
crookneck squash cooked,34.0,1.9,0.7,6.8,2.0
laver seaweed,1.0,0.2,0.012,0.1,0.09
mountain yam cooked,119.0,2.5,0.1,29.0,0.0
pumpkin flowers raw,5.0,0.3,0.084,1.1,0.0
mustard greens raw,15.0,1.6,0.2,2.6,1.8
arrowhead,12.0,0.6,0.084,2.4,0.0
japanese cabbage,45.0,2.4,0.2,8.5,4.7
mung bean sprouts cooked,24.0,2.5,0.1,4.5,1.0
